"id","ts","title","_yf_slug","_image","price","part_number","overview"
"41209","2017-09-15 23:53:55","Curt Manufacturing CURT Manufacturing 600 Series Install Kit Gooseneck Hitch - 60664","/Towing/CURT-Manufacturing-600-Series-Install-Kit-Gooseneck-Hitch-60664.aspx?t_c=67&t_s=59&t_pt=8527&t_pn=CRT60664","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/CRT/60664_a.jpg&w=200&h=200","$248.99","CRT60664",""
"41210","2017-09-15 23:53:55","Curt Manufacturing CURT Manufacturing 600 Series Install Kit Gooseneck Hitch - 60667","/Towing/CURT-Manufacturing-600-Series-Install-Kit-Gooseneck-Hitch-60667.aspx?t_c=67&t_s=59&t_pt=8527&t_pn=CRT60667","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/CRT/60667_a.jpg&w=200&h=200","$248.99","CRT60667",""
"41211","2017-09-15 23:53:55","Curt Manufacturing CURT Manufacturing Gooseneck Hitch Folding Ball Install Kit - 61301","/Towing/CURT-Manufacturing-Gooseneck-Hitch-Folding-Ball-Install-Kit-61301.aspx?t_c=67&t_s=59&t_pt=8527&t_pn=CRT61301","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/CRT/61301_a.jpg&w=200&h=200","$186.99","CRT61301",""
"41212","2017-09-15 23:53:55","Curt Manufacturing CURT Manufacturing Gooseneck Hitch Folding Ball Install Kit - 61319","/Towing/CURT-Manufacturing-Gooseneck-Hitch-Folding-Ball-Install-Kit-61319.aspx?t_c=67&t_s=59&t_pt=8527&t_pn=CRT61319","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/CRT/61319_a.jpg&w=200&h=200","$263.99","CRT61319",""
"41213","2017-09-15 23:53:55","Curt Manufacturing CURT Manufacturing Gooseneck Hitch Folding Ball Install Kit - 61331","/Towing/CURT-Manufacturing-Gooseneck-Hitch-Folding-Ball-Install-Kit-61331.aspx?t_c=67&t_s=59&t_pt=8527&t_pn=CRT61331","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/CRT/61331_a.jpg&w=200&h=200","$286.99","CRT61331",""
"41214","2017-09-15 23:53:55","Curt Manufacturing CURT Manufacturing Gooseneck Hitch Universal Rail Kit - 61502","/Towing/CURT-Manufacturing-Gooseneck-Hitch-Universal-Rail-Kit-61502.aspx?t_c=67&t_s=59&t_pt=8527&t_pn=CRT61502","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/CRT/61502_a.jpg&w=200&h=200","$267.99","CRT61502",""
"41215","2017-09-15 23:53:55","Curt Manufacturing CURT Manufacturing Gooseneck Hitch Folding Ball Install Kit - 61509","/Towing/CURT-Manufacturing-Gooseneck-Hitch-Folding-Ball-Install-Kit-61509.aspx?t_c=67&t_s=59&t_pt=8527&t_pn=CRT61509","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/CRT/61509_a.jpg&w=200&h=200","$234.99","CRT61509",""
"41216","2017-09-15 23:53:55","DrawTite DrawTite Gooseneck Rail Kit - 4437","/Towing/DrawTite-Gooseneck-Rail-Kit-4437.aspx?t_c=67&t_s=59&t_pt=8527&t_pn=DRA4437","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/DRA/DRA_4437_PIC_4_1_72.jpg&w=200&h=200","$253.99","DRA4437",""
"41217","2017-09-15 23:53:55","DrawTite DrawTite Gooseneck Rail Kit - 4439","/Towing/DrawTite-Gooseneck-Rail-Kit-4439.aspx?t_c=67&t_s=59&t_pt=8527&t_pn=DRA4439","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/DRA/DRA_4439_PIC_4_1_72.jpg&w=200&h=200","$253.99","DRA4439",""
"41218","2017-09-15 23:53:55","DrawTite DrawTite Gooseneck Rail Kit - 4440","/Towing/DrawTite-Gooseneck-Rail-Kit-4440.aspx?t_c=67&t_s=59&t_pt=8527&t_pn=DRA4440","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/DRA/DRA_4440_PIC_4_1_72.jpg&w=200&h=200","$253.99","DRA4440",""
"41219","2017-09-15 23:54:00","DrawTite DrawTite Gooseneck Rail Kit - 4449","/Towing/DrawTite-Gooseneck-Rail-Kit-4449.aspx?t_c=67&t_s=59&t_pt=8527&t_pn=DRA4449","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/DRA/DRA_4449_PIC_4_1_72.jpg&w=200&h=200","$253.99","DRA4449",""
"41220","2017-09-15 23:54:00","Curt Manufacturing CURT Manufacturing Double Lock Gooseneck Install Kit - 60606","/Towing/CURT-Manufacturing-Double-Lock-Gooseneck-Install-Kit-60606.aspx?t_c=67&t_s=59&t_pt=8527&t_pn=CRT60606","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/CRT/60606_a.jpg&w=200&h=200","$80.99","CRT60606",""
"41221","2017-09-15 23:54:00","Curt Manufacturing CURT Manufacturing 600 Series Install Kit Gooseneck Hitch - 60665","/Towing/CURT-Manufacturing-600-Series-Install-Kit-Gooseneck-Hitch-60665.aspx?t_c=67&t_s=59&t_pt=8527&t_pn=CRT60665","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/CRT/60665_a.jpg&w=200&h=200","$248.99","CRT60665",""
